AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8,Class
-63,-66,-67,-58,-64,-55,-56,-50,9
-62,-71,-66,-60,-65,-57,-53,-51,9
-61,-68,-64,-59,-64,-55,-54,-53,9
-62,-66,-67,-60,-64,-56,-54,-52,9
-65,-64,-58,-61,-58,-55,-54,-57,9
-66,-63,-58,-59,-57,-55,-54,-59,9
-62,-63,-58,-60,-59,-56,-53,-61,9
-59,-62,-59,-61,-57,-54,-51,-59,9
-60,-61,-60,-60,-57,-55,-50,-63,9
-61,-60,-58,-56,-57,-55,-53,-61,9
-59,-62,-57,-59,-59,-55,-50,-58,9
-60,-59,-58,-59,-59,-56,-51,-61,9
-59,-61,-59,-59,-58,-56,-50,-61,9
-61,-63,-59,-59,-59,-55,-51,-61,9
-61,-62,-57,-56,-58,-55,-50,-61,9
-61,-63,-58,-58,-60,-52,-50,-60,9
-60,-62,-58,-57,-57,-55,-51,-62,9
-60,-63,-58,-59,-60,-54,-51,-62,9
-62,-61,-59,-58,-56,-56,-52,-63,9
-63,-62,-59,-60,-59,-54,-52,-65,9
-60,-62,-59,-59,-58,-57,-52,-64,9
-60,-62,-59,-57,-57,-55,-51,-65,9
-61,-58,-61,-61,-66,-54,-65,-53,9
-60,-60,-60,-62,-68,-51,-72,-51,9
-58,-57,-58,-60,-68,-53,-73,-53,9
-55,-60,-60,-58,-64,-53,-69,-53,9
-56,-58,-61,-62,-65,-53,-68,-53,9
-59,-57,-60,-62,-68,-53,-67,-53,9
-59,-61,-59,-62,-70,-55,-66,-52,9
-58,-56,-56,-60,-69,-52,-66,-52,9
-58,-57,-60,-60,-64,-54,-66,-56,9
-59,-56,-63,-61,-67,-56,-71,-56,9
-59,-56,-65,-61,-66,-52,-67,-56,9
-68,-69,-65,-59,-63,-50,-57,-47,10
-66,-70,-64,-59,-65,-50,-55,-49,10
-68,-70,-64,-58,-67,-51,-55,-49,10
-67,-69,-65,-57,-64,-50,-56,-48,10
-68,-70,-67,-59,-65,-52,-56,-48,10
-71,-68,-60,-60,-63,-51,-57,-49,10
-66,-70,-64,-58,-62,-50,-56,-48,10
-69,-69,-65,-65,-64,-50,-57,-49,10
-69,-71,-65,-58,-64,-50,-59,-48,10
-72,-70,-62,-58,-65,-56,-59,-48,10
-69,-71,-65,-59,-65,-50,-57,-48,10
-62,-71,-70,-57,-62,-46,-58,-52,10
-63,-76,-63,-57,-60,-57,-58,-50,10
-60,-78,-63,-56,-65,-47,-59,-50,10
-58,-76,-61,-61,-62,-50,-56,-50,10
-62,-77,-62,-60,-59,-48,-57,-51,10
-59,-76,-62,-63,-66,-48,-59,-50,10
-60,-75,-62,-56,-62,-48,-59,-50,10
-61,-75,-60,-57,-62,-49,-59,-51,10
-61,-77,-63,-55,-63,-49,-59,-50,10
-61,-77,-62,-58,-63,-49,-59,-50,10
-61,-77,-62,-58,-62,-49,-58,-50,10
-65,-75,-64,-60,-62,-49,-58,-50,10
-62,-73,-66,-59,-60,-48,-58,-51,10
-60,-65,-64,-59,-54,-49,-58,-54,10
-61,-69,-58,-58,-52,-48,-60,-55,10
-60,-70,-60,-58,-57,-49,-58,-58,10
-60,-69,-58,-56,-54,-49,-58,-58,10
-58,-68,-60,-59,-53,-51,-59,-57,10
-61,-72,-60,-57,-53,-51,-59,-56,10
-61,-71,-59,-57,-55,-50,-59,-58,10
-60,-74,-59,-59,-54,-46,-60,-61,10
-60,-71,-62,-54,-56,-48,-64,-58,10
-59,-71,-63,-56,-56,-48,-59,-59,10
-61,-69,-61,-57,-54,-50,-59,-60,10
-62,-69,-60,-56,-56,-51,-63,-60,10
-61,-69,-59,-57,-56,-48,-60,-54,10
-61,-65,-60,-58,-54,-51,-61,-56,10
-64,-66,-59,-58,-53,-52,-60,-58,10
-57,-63,-77,-65,-61,-55,-63,-49,10
-60,-63,-65,-61,-63,-52,-62,-51,10
-60,-62,-68,-61,-59,-51,-63,-51,10
-62,-59,-66,-62,-60,-52,-58,-50,10
-60,-62,-69,-61,-57,-51,-58,-50,10
-59,-61,-69,-60,-58,-53,-58,-50,10
-57,-60,-69,-63,-60,-52,-60,-50,10
-60,-60,-74,-64,-60,-53,-58,-51,10
-59,-64,-69,-64,-58,-52,-59,-52,10
-58,-58,-71,-62,-58,-55,-59,-51,10
-60,-59,-65,-62,-58,-54,-63,-50,10
-72,-52,-52,-64,-65,-60,-60,-71,11
-73,-50,-54,-62,-64,-60,-60,-76,11
-73,-52,-53,-61,-64,-60,-59,-72,11
-73,-54,-53,-60,-65,-60,-61,-75,11
-75,-54,-52,-61,-64,-63,-60,-74,11
-74,-56,-51,-58,-64,-63,-60,-75,11
-73,-52,-52,-58,-64,-61,-62,-70,11
-74,-54,-52,-59,-63,-64,-56,-69,11
-74,-59,-51,-59,-64,-62,-59,-70,11
-75,-54,-52,-58,-63,-62,-61,-68,11
-75,-54,-52,-59,-64,-61,-60,-72,11
-75,-59,-53,-59,-59,-61,-61,-70,11
-75,-55,-51,-62,-63,-58,-59,-70,11
-71,-57,-52,-60,-63,-61,-60,-69,11
-73,-48,-58,-66,-71,-60,-64,-59,11
-73,-52,-58,-66,-70,-63,-64,-58,11
-71,-50,-65,-64,-65,-62,-64,-58,11
-73,-52,-66,-64,-70,-62,-77,-58,11
-70,-50,-63,-65,-68,-63,-64,-58,11
-70,-51,-62,-66,-69,-64,-64,-60,11
-73,-49,-63,-67,-68,-60,-66,-59,11
-74,-49,-62,-69,-67,-64,-62,-60,11
-73,-50,-60,-68,-68,-64,-62,-59,11
-71,-50,-60,-65,-68,-64,-62,-59,11
-76,-52,-60,-66,-67,-62,-61,-60,11
-70,-51,-59,-66,-66,-64,-62,-60,11
-71,-51,-61,-63,-74,-62,-66,-61,11
-73,-50,-61,-66,-67,-62,-60,-60,11
-69,-49,-62,-61,-55,-59,-71,-52,11
